tweet_id,text,misogyny,category
4717,مستخدم@ حلمك ما رح يتحقق يا خاينة,misogyny,discredit
1989,مستخدم@ مستخدم@ عملوا هشتاغ و شتموها و وصفوها بالواطية. ليش عم يجرفوا مسار الثورة. همي جزء من المنظومة الفاسدة… https://t.co/hNSHf8iTO5,none,none
3474,مستخدم@ مستخدم@ من بجيب الحشيش عبيروت ؟ بعلبك يعني انتو,none,none
759,مستخدم@ نوال بري إعلامية بتكبري قلب ربنا يحميكي,none,none
5788,مستخدم@ واولهم نانسي السبع هي وعم بتغطي قالت مجموعة حزبية دخلت الى رياض الصلح كان فيها تقول متظاهرين,none,none
4901,مستخدم@ مستخدم@ Eh walla ken lezim lama sta3malo 3 aweltik ydabeh kel l3alm li metlik l3omala w lkhawana #ديما #الصهيونية,misogyny,discredit
1191,مستخدم@ والله انك غبية و تافهة ��,misogyny,discredit
43,مستخدم@ بس يا وسخه يا زباله يا خاينه وطنك و شعبك يا حشرة,misogyny,discredit
1938,مستخدم@ مستخدم@ مستخدم@ يا ست ديما ابتعدي عن الاستفزاز لان جماعاتهم نطرينك على كلمة رجاءً خلي الثورة… https://t.co/1kctSkn2Rb,none,none
2423,مستخدم@ صار يطلعلك حس يا منحوسة,misogyny,discredit
7123,مستخدم@ هودي الواطيين كنتي عم تعتاشي من وراهن يا جاحدة,misogyny,discredit
5754,مستخدم@ مستخدم@ ديما الي متلها قلائل لبنانية أصيلة منحبها كتير,none,none
4907,مستخدم@ الله يشفيكي ويشفي عقلاتك,none,none
6071,مستخدم@ يا غشيمة هوي قدمهن من زمان للقضاء بس المفتي تدخل و قال السنيورة خط احمر شكلك عايشة بالخسة,misogyny,discredit
7317,مستخدم@ ديما يا عديمة الشرف ما بيطلعلك تحكي عن الشرف,misogyny,discredit
7076,مستخدم@ يلعن شرفك شو عاهرة,misogyny,discredit
6922,مستخدم@ مستخدم@ تعيش ديما صادق الثائرة الحرة تحياتي,none,none
5336,مستخدم@ انا اعتقد كان يقصد حراك العناصر الحزبية المشاغبة ضد ثورة الشعب اللبناني المقهور...,none,none
6471,مستخدم@ المبدأ انو ناس بتحكي مع الشرفاء وناس بتحكي مع الواطيين اللي متلك ,misogyny,discredit
1300,مستخدم@ ويش فايدة الحجاب وهذا كلامش!! لعنش من مره,misogyny,damning
4153,مستخدم@ انتي مجرد كلبة تنبح ما درو عنك,misogyny,discredit
2288,مستخدم@ قلع الله وجهك ياعره ،من انت باصفيقه حتى تتكلمي عن ابن باز,misogyny,damning
3213,مستخدم@ لعنة الله على وجهك يا دانقة,misogyny,damning
7177,مستخدم@ يا فهيمة دليل إنو خطاب للوطن مش لجمهور الحزب بس �,none,none
4979,مستخدم@ إعلامية صادقة انتِ يا ديمامستخدم@,none,none
87,مستخدم@ ست ديما ، تحياتي لحضرتك . هل هذه معلومات ام مجرد تحليل ؟,none,none
7297,مستخدم@ اذا كان الغراب دليل قوم من يوم ماشوفنا وجهك والخراب معشش في الوطن العربي,misogyny,discredit
5677,مستخدم@ ديما صادق صوت حر يُمثل الشباب اللبناني. بنفتخر فيكي كتير #كلنا_ديما_صادق #لبنان_ينتفص,none,none
2902,مستخدم@ اشتي افهم هل انتي بتشوفي كل هاذا الشتم ولعن ولكره اذا انتي بتشوفيه من جد ماعندك كرامه اعوذب الله من وجهك الي ما يستحي,misogyny,discredit
4887,مستخدم@ يا أم نص لسان سكتي احسن,misogyny,stereotyping & objectification
7515,مستخدم@ مستخدم@ مستخدم@ الله يصبرك� بسيطة كلو رايح.... عجهنم انشاالله,none,none
7850,مستخدم@ اهم انجازاتك رايحه تركيا وجايه من تركيا يقطع وجهك ع وجه تركيا,misogyny,damning
3548,مستخدم@ ما تقولي شي عن لسان السيد يرحم امواتك� ماغباكي,misogyny,discredit
2554,مستخدم@ تشعرين بالغيرة الان 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣من غادة عويس بدا كهن النسوان,none,none
2250,مستخدم@ مستخدم@ كللك ذوق,none,none
266,مستخدم@ تفوهه ال سعود أسياد الله يذلك,misogyny,damning
7479,مستخدم@ يقبرك و يخلصنا منك ومن عهرك,misogyny,threat of violence
6561,مستخدم@ مستخدم@ مستخدم@ من يشك في نفسه ، طبيعي أن يشك في الآخرين .,none,none
7133,مستخدم@ نفسي اشوفك علشان ادوس على دماغ امك بلجزمه,misogyny,threat of violence
5388,مستخدم@ تفه عليك شو حقيرة وزبالي روحي نضبي يلعنك عن جد اوسخ من هيك مافي,misogyny,discredit
3672,مستخدم@ برافو نوال,none,none
7009,مستخدم@ كنت بدي إدعي عليكي بس ما إنت ساقطة ساقطة...,misogyny,discredit
6549,مستخدم@ ولي شخاخه ما فشرتي يقبرك !! ولي ديما إنت كبيرك شيه موريس يقبرك و يمشي بجنازتك ولك آيه موريس تبع بيوت الد… https://t.co/t5ciekfqBU,misogyny,discredit
2926,مستخدم@ مش ملاحظة إنك بتهبدي في أي حاجة؟,none,none
1268,مستخدم@ بس يا شرشوحة,misogyny,discredit
512,مستخدم@ المنشار حرام فيش الكهربارحق المنشار انتي تستاهلي ذبح بسكين بدون كهربا,misogyny,threat of violence
5997,ڤيديوهات النسوان اللي بترقص دي لا تثير اهتمامي بحس ان عندهم مغص كلوي,none,none
887,مستخدم@ بهيمة حيوانة معزاية بقرة والغنمة انت يا ام نص لسان بكل احترام,misogyny,stereotyping & objectification
5402,مستخدم@ بعدين ما سكرو طرقات و عملوا حواجز اصلن انت اشطر مين الف خبار و صدقها امرأة وقحة,misogyny,discredit
6790,مستخدم@ ما فيكي تختصري تيار بكم شخص، متل كانو عم نختصر الحراك بوحدة متلك..which is impossible #خففي_عقد_نفسية,none,none
7762,مستخدم@ اعاده الله عليكى يا بنت عشماوى يا بنت الجزمة وانتى فى نار جهنم مع مسليمة الكذاب,misogyny,damning
4140,مستخدم@ مستخدم@ مستخدم@ كنت بدي قلك بركي بيو آدمي .... بس لو كان هيك كان عرف يربيه لهالوبش ....,none,none
255,مستخدم@ يا مرات مرسي بتطبخى ايه 🤣🤣 تستاهلو الحرق,misogyny,stereotyping & objectification
3813,#تلفزيون_الجديد نانسي السبع شو هاي كلمة حمت لي مين قرب عليك وع غيرك مش مقبول ولا مسموح هل الحكي هاي ساحة لبنانية حر… https://t.co/60EXdUjb9j,none,none
381,مستخدم@ الله خلق يمنى فواز ككائن بشري، بس يمنى فواز كونت نغسها بنفسها، بتعبك ومجهودك، ما حدا يتهاون لا بخلق الل… https://t.co/u5AFuhwkkz,none,none
1331,مستخدم@ روحي كلي قات يا أم فسوية,misogyny,discredit
6380,مستخدم@ احباب الله أنصار الله حزب الله جند الله لو يصلون لبوذا سود الله وجهك زود على هالسواد,misogyny,damning
1876,مستخدم@ انتي لستي سوا جيفة نتنه. معا مرور الوقت فاحت الرائحة الكريهة ليختنق المارين من امامها من هول الرائحة القذرة,misogyny,discredit
7509,مستخدم@ مستخدم@ هيدي هبلة مش مهضومة (( مبسوووووطة)) هههههههه,misogyny,discredit
3625,مستخدم@ شو بتفرق نيكول حجل عن فضل شاكر,none,none
7698,مستخدم@ سخيفة مثل المحطة تبعك الرءيس عزاسك �,misogyny,discredit
1859,مستخدم@ الله يلعن والديك يابنت القحبة انتي لستي يمنية اهتمي ببلدك الذي خربتيه وهربتي تركيا الحين الناس تموت جوع,misogyny,damning
6505,مستخدم@ حبيبتي المحترمه وحشتينا جدا ربنا يطمنا عليكم صباح,none,none
3849,RT مستخدم@: مستخدم@ مستخدم@ لازم نسأل المراسلة أو يلي مفكرا حالا مراسلة شو عملها جبران باسيل حتى هلقد انحمقت أعصابك حبيبتي روقي رو…,none,none
2052,مستخدم@ انت مع مين؟ مع لبيدفع اكتر.. إعلام مأجور✌️ https://t.co/6mgUlnTzgJ,none,none
1002,مستخدم@ مستخدم@ مستخدم@ دخيل ربك تشرفي طرابلس انتي يا اشرف الناس,none,none
5086,مستخدم@ مستخدم@ أنت عاهرة الثورة,misogyny,discredit
1062,مستخدم@ مستخدم@ بتكذبو كذبة وبتصدقوها يا واطية شفتي مرأة جنوبية ما شفتي بطرابلس كيف عم يحكو عن تمويل فعلا انك حقيرة وسخة,misogyny,discredit
5090,مستخدم@ كلام منطقي وصحيح السلطةبجميع اركانها عصابة حرمية يتقاسمون قالب. الحلوى سويا. يسعد. مساك جسيكا، لا ترحمى احدا.,none,none
5835,مستخدم@ مستخدم@ العمى شو جاهلة,misogyny,discredit
1258,مستخدم@ مين جن يا معفنة ����,misogyny,discredit
350,مستخدم@ مش هل مقابلة لنفضحتي فيا؟ ليش بتحبي البهدلة,misogyny,derailing
7138,مستخدم@ مستخدم@ #ديما الهبلا,misogyny,discredit
5902,مستخدم@ نانسي السبع اكبر فتنه انت وافشل مراسلة,misogyny,discredit
6040,RT مستخدم@: مستخدم@ أنشألله عن قريب مناكل سفيحة عن روحك النجسة ��� https://t.co/gAY3EGxjFD,misogyny,discredit
3601,مستخدم@ مستخدم@ مستخدم@ حزب الله وأمل والعونيون يتجرعون الان كأس السم الذي طبخوه وكرسوه في 2007عندمًا اف… https://t.co/HCuie1EaU7,none,none
3071,مستخدم@ دعوى ... مش دعوة..يا صحفية سابقة,none,none
4547,مستخدم@ رجاء العقل ثم العقل و الروية! كلنا معكن بس مش هيك، مش بنشر الخبر قبل من نكون متأكدين من المصدر.البلد ع… https://t.co/tfYckIpn8m,none,none
3919,انتي بطلة من بطلان هالثورة. الله يحميكي يا يمنى مستخدم@ https://t.co/e1I4wxKvw5,none,none
549,مستخدم@ سدي بوزك. العما ما احمرك. لحاسة,misogyny,discredit
2035,مستخدم@ رح يبقى علم حزب الله يرفرف فوق لبنان منشان ما تتنازلو عنو لاسرائيل انت وامثالك,none,none
872,مستخدم@ داعس بنص قلبك ههههههههههه لو بتموتي ما بتوصلي ليللي بدك ياه، عطول راسك رح بضل تحت سرمايتو ،يا وسخة ���,misogyny,dominance
4803,مستخدم@ انتي لم تقصري، لا تخافي الدعوات أوقات لا تستجاب,none,none
6802,مستخدم@ مستخدم@ للعهر عنوان ,misogyny,discredit
4139,RT مستخدم@: مستخدم@ هاهاهاهاها عن جد انك هبيلة ���� ابكي بترتاحي ���,misogyny,stereotyping & objectification
5423,مستخدم@ انتي ياعجوز النار لم تموتي بعد,misogyny,discredit
4721,مستخدم@ الله يحمي احرار لبنان الله حيو ديمة,none,none
1437,مستخدم@ وأنت لم تدخلي الملة يوما في حياتك أيتها الخنزيرة الكافرة,misogyny,discredit
4335,مستخدم@ انظرى جيدا للصورة فستجدى هيلاري تبتعد عنك نظرا لريحتك المقززة المقرفة التى ذكرتها هيلاري في التسريبات 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂 فضيحتك بقت بجلاجل ولفت العالم كله,misogyny,stereotyping & objectification
3020,مستخدم@ بطلي لقافة واهتمي بزوجك واهتمي ببيتك ومطبخك ماوراك اهل أنتي حاشرة نفسك في كل صغيرة وكبيرة وين زوجك اربي والدية,misogyny,stereotyping & objectification
3409,مستخدم@ ياليليان هذا غيلة في حكم الدين ولايجوز فيه العفو,none,none
4307,مستخدم@ أنتِ بنفسك مصدر من مصادر التلوث، فأنتِ تلوثين الأرض بفضلاتك القذرة الناتجة من مضغ القات. 🤢,misogyny,discredit
5127,مستخدم@ يا ريت يا نيقول,none,none
159,مستخدم@ انت مين طلب منك تشاركينا الثورة ؟ عدائك للحزب ع راسي بس خلي ببطنك وما تحكي باسم الثوار ، انت معروفي مين !! بس هيك,none,none
5723,مستخدم@ ما تجربي تركبي الموجة هلق، معروف تاريخك مع الوزراء والنواب والسلطة الحاكمة. متلك متل مرسال غانم #اعلامية_البلاط,none,none
4978,مستخدم@ انت اكيد انك صحافية وبتابعي اخبار وبتسمعي منيح ���,none,none
7142,مستخدم@ سدي بوزك,misogyny,discredit
1321,مستخدم@ انتي الحاوية التي ترمى فيها القمامة والاوساخ الي مزبلة التاريخ,misogyny,discredit
7865,مستخدم@ سخيفة وكمخة روحي انضبي,misogyny,discredit
3475,مستخدم@ انتي مال اهلك خليكي في بلدك ولا متغاظة عشان اطردتي من مصر طردت الكلاب,misogyny,discredit
72,مستخدم@ الله يحرقك كما أحرقتي الوطن العربي,misogyny,damning
4072,مستخدم@ هيدول كلّن سُفَرا ، انفضحتو,none,none
49,مستخدم@ طويلي على رقبتك,misogyny,dominance
172,مستخدم@ السيد اذا بتريدي وهوي خط احمر وللي مش عاجبو يبلط البحر,none,none
2574,مستخدم@ كتير فخور فيكي ، وصدقك وأخلاقك هني يلي بنجحوكي دائماً ، مبارح كنت بالساحه حكيتك وسلمت عليكي وحكينا عم ي… https://t.co/bX58vzakPi,none,none
4699,#كلنا_جويل ❤️ مستخدم@ https://t.co/cpH67eDoBq,none,none
7763,مستخدم@ يلا كمان مرة كلي خرا ���,misogyny,discredit
2988,مستخدم@ والله ما كنت عامليتلا فولو ميرسي يمنى ��,none,none
1977,مستخدم@ ولك يسلملي انا يللي ب نص لسان بتحكي و مش تركا حرف ما بتلدغ في ب كل الابجديات..عيب عليكي، يا رخيصة,misogyny,stereotyping & objectification
1135,مستخدم@ ليش لاء با ست يمنى اذا مش عاجبك جبران ناس اكثر من ناسك عاجبهم,none,none
4230,مستخدم@ رح تموتي من أهرك انشالله �,misogyny,damning
443,مستخدم@ مستخدم@ هيدي #ديما_الواطيه عنجد انها #ديما_الواطيه اوفف شو #ديما_الواطيه,misogyny,discredit
3101,مستخدم@ ماشالله كلكم طلعتوا ممولين و مرتاحين على وضعكم لكن شو بدكم بهيدي الثورة.. و انتي لحتى ما انساكي يلعن شرفك بكعب صرمايتي..,misogyny,damning
64,مستخدم@ ديما الواطية شو متعاطيه اليوم بول البعير تقديمة ال سعود معلمينك ليش انت لبنانيه .... اكيد لا بلدك مين بيعطيك فلوس اكتر,misogyny,discredit
5126,مستخدم@ اعلامية ساقطة,misogyny,discredit
32,مستخدم@ والله رحمينا نشف ريقنا قد ما صرنا مبزقين عليكي,misogyny,derailing
5507,مستخدم@ ما شفناكي علقتي لما القوات الصهيونية بلشت تقول حزب الله ارهابي يا واطية العما بقلبك شو منافقة… https://t.co/ZgHCb3SrLp,misogyny,discredit
3486,مستخدم@ مستخدم@ يبدو انك فقتي اكبر المحللين في الدول العربية والعالم! Iq جزرة,none,none
919,مستخدم@ والله نسال الله التساهيل اختى ليليان وحشتينا بجد ومنتظرين وجودك ف شاشة التلفزيون 🌺🌺,none,none
5560,مستخدم@ عنجد انك غبية قال صحفية قال �,misogyny,discredit
1568,مستخدم@ ديما انتي اشرف الناس وأخلص الناس... بحيي فيكي وطنيتك ومحبتك للبلد... وأرجوكِ ما تكترثي لأي تعليق سلبي بح… https://t.co/sSw9oSlPF8,none,none
4532,مستخدم@ مستخدم@ مستخدم@ مستخدم@ مستخدم@ ملكة صحافيات الثورة: جويس عقيقي وتحية للجميع,none,none
6513,مستخدم@ خرجت عيونك من رأسك يا بقرة,misogyny,damning
3911,مستخدم@ حقيقة وحدة بهالثورة... قد ما هي صادقة و صريحة صرنا نعمل ريتويت لديما صادق... تحية إلى الشارع الذي اعطى الثورة عصبها #لبنان_ينتفض,none,none
4770,مستخدم@ يا اخي ما في احقر منك والله....هؤلاء حثاله لا نلتفت اليهم....كنت دائما وستظلي ست الستات,none,none
1766,مستخدم@ انشاالله بيقبرك ومندعس على قبرك يا حقيرة,misogyny,damning
1139,مستخدم@ الا لعنة الله عليك ياشرموطه يافاجره,misogyny,damning
4781,مستخدم@ تراني تأثرت يا الله شو حنوني � https://t.co/nbdOJxkXv2,misogyny,discredit
7788,مستخدم@ قبحكي الله وسود الله وجهكي ياخنزيرة,misogyny,damning
4106,مستخدم@ الله يعين المجتمع ع قلة فهمك و استيعابك �,misogyny,discredit
3007,مستخدم@ عندما يكون الخطاب حزبوي يضع علم حزب الله وعندما يكون وطني يضع علم لبنان يا مثقفة يا متعلمة يا عاهرة الاعلام,misogyny,discredit
6402,مستخدم@ فهمانه الموضوع غلط والله ، نسييت قلك واطيه,misogyny,discredit
3591,مستخدم@ الغاء متابعة ، هذا مش نقد ، هذه مكايده رخيصة ، واضح انك معرفتيش تسيطرى على حقدك على النظام ، و تحول لحقد على مصر عامه,none,none
3186,مستخدم@ مستخدم@ الستات المغيبه ماحدش ياخد على كلامهم #هرمونات وكدزه😀,misogyny,dominance
3150,مستخدم@ وفقك الله ورعاك يا توكل كرمان,none,none
6600,مستخدم@ معك حق النسوان كلهم ضغوط يجيبو وجع الراس 🤣,misogyny,discredit
1106,مستخدم@ امانة اكلتي سحسوح ولا ناطرة القتلة الاكبر ... اصبري عرزقك ���,misogyny,threat of violence
2049,مستخدم@ انت ساقطه وأدرى بالسقوط,misogyny,discredit
7028,مستخدم@ مستخدم@ طيب حتى الحريم يقولون ذكر مايقولون رجل، يعني بطريقة ما هم يعترفون ان الرجل اعلى مرتبة من الحرمة عشان كذا يجردونه من اللقب كاهانة؟,misogyny,dominance
1566,مستخدم@ الحاقد اعمى وانت حاقدة ع هبل�,misogyny,discredit
5724,مستخدم@ ديما الواطية سدي بوزك بقا,misogyny,discredit
6643,مستخدم@ انت حمارة من بلادي �,misogyny,discredit
499,مستخدم@ خاليك فى بلدك احسن لكى نجيب كان عندو حق انو طردك ي مرتزقة,misogyny,discredit
1614,مستخدم@ يا ديما يا بطلة بتحكي بإسم الأبطال,none,none
3968,مستخدم@ بس لو سلخوكي شي كف ,misogyny,threat of violence
3082,مستخدم@ الخلاصة انك لا تفقهين شيئا و لست من اهل اليمن توكلي,misogyny,discredit
7640,مستخدم@ يعني ديما واطيه وسافله وحقيره.,misogyny,discredit
675,مستخدم@ ديما الواطية انت؟؟؟ او ديما صادق ؟؟؟ يا عمي بطلنا نعرف شو عيلتك؟؟؟ بس أكّدولي انك ديما الواطية,misogyny,discredit
3504,مستخدم@ مستخدم@ خرسي ولي حمارة ، اذا بتفكري كنتي عرفتي إنّو السيد مش حرامي و ما عندو منصب بالحكومة و فدى الو… https://t.co/tSeKFwqBfU,misogyny,discredit
4930,مستخدم@ ديما الواطية لبئلك يا عيب الشوم على شرفك ،,misogyny,discredit
6918,مستخدم@ ممكن حضرتك تيجى تشريفنا فى اى سجن يعجبك ونس برضه لإخوانك المساجين,none,none
3839,مستخدم@ مستخدم@ ,misogyny,discredit
1166,مستخدم@ مستخدم@ نوّرتي طرابلس يا صاحبة الكلمة الحرة! و انت بتشبهي هالمدينة لأنك أدهشتي عالم الإعلام بمواق… https://t.co/mNAP55jkuH,none,none
6483,مستخدم@ يا ريت اكلتي شي كف عا نيعك,misogyny,threat of violence
31,مستخدم@ أكبر تشبيح من الذباب الاكتروني التابع لحزبلا يعني تشبيح شوارعي و تشبيح إلكتروني,none,none
2687,RT مستخدم@: مستخدم@ من اذنيكي على التحقيق يا قائدة ثورات المجارير,misogyny,discredit
7693,مستخدم@ الرجل حر... وشكرا,none,none
5508,RT مستخدم@: مستخدم@ كل الحب كل الحب #كلنا_ديما_صادق عنجد عيونك بتحكي ادي انتي انسانة شريفة وصادقة ✌��� تحية اهل #طرابلس https://t…,none,none
4878,مستخدم@ مستخدم@ ثورة شو ياروح أجري,misogyny,discredit
6204,مستخدم@ ريتك.... وما حكيتي ما لقيتي غير بيت شمص تعلقي معن,none,none
7097,مستخدم@ شيوعية حاقدة,misogyny,discredit
6633,مستخدم@ يعني ياأستاذه ليليان الصهاينه اللي مرجعهم في اي حاجه بيعملوها ديني بالمقام الأول لما نيجي نتكلم بدينا إحنا كمان نبقي كدا جانبنا الصواب كلام أبو تريكه عين الصواب فعلا👌🏻👌🏻,none,none
4479,مستخدم@ عرفناليه جوزك طلقك ياام ريحه معفنه https://t.co/D73krf29ix,misogyny,stereotyping & objectification
3713,مستخدم@ الجيش يا جاهله معناها فى اللغه العربيه الحشد بس مشكلتك انك متعرفيش غير المليشيات و المرتزقه,misogyny,discredit
5576,مستخدم@ وانت مالك دي انتي حتي مش مصرية,none,none
1352,عيب هالحملات الواطية ضد الاعلاميين الأحرار ! #كلنا_ديما_صادق ❤️ مستخدم@ ولا يهمك,none,none
5332,مستخدم@ عسى ان يكون موتك قريب ونفتك من هاي الوجوه القذرة,misogyny,damning
5806,مستخدم@ من طرابلس عروسة الثورة تحية ايلك نانسي السبع �❤,none,none
2598,مستخدم@ الله محيي البطن يلي حملك انت الصوت الصارخ في الوطن الوطن يلي بدنا ياه مش وطنهم المزور والمعبى كره وحقد و… https://t.co/Hf41FiamnK,none,none
453,مستخدم@ الله يلعن شرفك شو انك فتنة ومدفعلك بس صرماية السيد انضف من راسك,misogyny,damning
5484,مستخدم@ ربنا يوفقك ويحفظك في الدارين يارب وينعم عليكي بنعمه الصحه والعافيه,none,none
1121,مستخدم@ نانسي السبع المتقلبة..,none,none
2536,مستخدم@ مستخدم@ مستخدم@ الفيديو صحيح، وكتير غلط اللي انعمل، ديما ما صدقت شافت شي وصارت متل النور ع الكبة,none,none
472,مستخدم@ مستخدم@ لأنها طويلة هبيلة,misogyny,stereotyping & objectification
2458,مستخدم@ اصمتي يا عاهرة المال,misogyny,discredit
5105,مستخدم@ أحسنت قائدة الثوره اللهم ثورة تنقذ وطن,none,none
4814,مستخدم@ يا معاقة، إذا الحزب بحد ذاتو طلع بيان آنو ما آلو علاقة بإللي نزلو. من وين بتجيبي اخبارك بس���,misogyny,stereotyping & objectification
3098,مستخدم@ لعنة الله عليش يا قليلة الحياء انتي لازم تتحاكمي ياكذابه يا دجاله,misogyny,damning
6741,مستخدم@ انت فاضيه روحى المطبخ اغسلى المواعين,misogyny,stereotyping & objectification
6268,مستخدم@ مستخدم@ معروف اديش حقك خلص خرسي بقا,misogyny,discredit
4514,مستخدم@ اول شي بيقولو السيد يا بهلولي تاني شي ما بيخاف الا من الله تالت شي انت الوحيده لازم تنضبي,misogyny,discredit
7349,مستخدم@ الله يهديكي وتصيري تفهمي ، تعودتي عالبهدلة ، اذا عملولك هاشتاغ جديد ما تلوميهم,misogyny,derailing
4684,مستخدم@ هيدي الدوله العفيفه الشريفه متلك يا طاهره,misogyny,sexual harassment
815,مستخدم@ احلا شعب واحلا متظاهرين في العالم واحلا ثوره #وزمر_ياحسن_زميره,none,none
7063,مستخدم@ ايش دخل امك في شون غيرك تعرفي ايش قال الشيخ عبدالله بن الأحمر رحمة الله عليه وين مكانك على المطبخ والفرش خليني اخوتم رمضان قبل اكمل الباقي,misogyny,stereotyping & objectification
3864,مستخدم@ و فجأة صارت مستخدم@ خبيرة سياسية و عسكرية مع رشة امن معلومات و مخابرات دولة. #يا_نوسك,none,none
3148,مستخدم@ نظفي سمعتك يا عاهرة,misogyny,discredit
4378,مستخدم@ طولي بالك علينا شوي، اذا انتي غبية مش كل الناس اغبيا، مافيا جهاد العرب تابعة لمين!!!,misogyny,discredit
6326,مستخدم@ بركي بأشوكي و بريحونة منك #حقك_ليرة_ديما,misogyny,threat of violence
5590,مستخدم@ مستخدم@ والله لي كنتي عم تتنسطي ورا الباب او مصدر موثوق خبرك � قوية يا يويو,none,none
7697,مستخدم@ مستخدم@ مستخدم@ مستخدم@ مين قال الدربكة انها من العصر الحديث ومش من الجاهلية؟؟؟؟ فعلا الثقافة معدومة,none,none
2367,مستخدم@ يا صحافيه يا محترمه احترمي رآي غيرك بلا تعصب,none,none
2620,مستخدم@ اليمن كأن بلاد ديمقراطي وخرجتي بثورة يابقرة والاثور لحقوك ودمرتوا البلاد والان إنتي خارج اليمن ولا يستطيع من خرج معك رفع صوته بصنعاء في وجة الحوثيين اتحدكم تخرجوا بتظاهرات,misogyny,discredit
58,مستخدم@ لازم تعملي وصله رقص مع انجي خوري,misogyny,stereotyping & objectification
5312,RT مستخدم@: نانسي السبع قد ما تحمست طلع معها انن مسلحين,none,none
326,مستخدم@ الله يحشرك مع ابو جهل و امرته حمله حطب https://t.co/5DlqT5yYRs,misogyny,damning
2714,مستخدم@ من زينك تتعرضي للتنمر ياعاهرة الاخونج,misogyny,discredit
2762,مستخدم@ عنجد انك غشيمة,misogyny,discredit
7205,مستخدم@ رحم الله والدك واسكنه فسيح الجنات يابنت بلدي ويافخر وطني يكفي اباك ان انجبك بحجمك.,none,none
2823,مستخدم@ مستخدم@ كل شوي بيطلع واحد بيقول بدنا نسترجع الأموال المنهوبة والله شايفلكم اخر الشي الشعب هو لي بدو يطلع سارق المصاري�,none,none
876,مستخدم@ كل الاحترام لهم ها هي الثوره الحقيقه مو متل رياض الصلح حفلات ورقص وهبل كل الاحترام للعروس الشمال طرابلس,none,none
5096,مستخدم@ اتكلي على الله واشتغلي رقاصه احسن,misogyny,stereotyping & objectification
4221,مستخدم@ اتركيهن ديما يبينو على حقيقتهم طالما كلنا انهم اوسخ وانذل الناس ما حدا يصدق وصدقو كذبه الدجل تبع جندي ايران,none,none
2745,مستخدم@ انتى صاحبت كل مبداء لكى كل الاحترام والتقدير,none,none
2976,مستخدم@ ما تتلمي يا وسخة لما تتكلمي عن رئيس مصر تتكلمي بأدب اسمه سيادة الرئيس و الفاشية دي تبقى امك,misogyny,discredit
5930,مستخدم@ قبح الله وجهك ومنطقك يالبسوس .. ستظل مملكتنا الحبيبة تذود عن الحق وتعلي شأنه ورغماً عنكم يا عبيد قردوغان والخميني .! https://t.co/Fx7TMpVvrf,misogyny,damning
4689,يجدعان والله فيروز دي ست النسوان كلهم,none,none
